month,us_exports_usd,us_exports_ttm,us_exports_yoy,jp_exports_usd,us_share_of_us_jp,us_share_3m,us_share_12m
2019-01,77441659.0,,,48361563.039,0.6155777073499156,,
2019-02,62815027.0,,,68387182.155,0.4787650101667985,,
2019-03,100418183.0,,,117502231.793,0.46080209188012994,0.5183816031322813,
2019-04,68092877.0,,,64616428.539,0.5130979830196548,0.4842216950221944,
2019-05,62189503.0,,,87345289.141,0.41588651115627995,0.4632621953520215,
2019-06,74467043.0,,,90460939.251,0.4515124843197946,0.4601656594985764,
2019-07,64950004.0,,,95135852.382,0.4057198147787337,0.4243729367516027,
2019-08,76029611.0,,,100567998.301,0.4305245767535398,0.42925229195068937,
2019-09,69613246.0,,,115365203.096,0.3763316556074711,0.40419201571324814,
2019-10,67055167.0,,,115828466.361,0.36665482726733456,0.39117035320944843,
2019-11,72648242.0,,,106357838.732,0.40584231386399516,0.3829429322462669,
2019-12,72888063.0,868608625.0,,117253023.472,0.3833367335404041,0.3852779582239112,0.4420043091420043
2020-01,81038973.0,872205939.0,0.04645192324715053,88903044.552,0.47686248620181976,0.4220138445354063,0.43044470737966295
2020-02,68027761.0,877418673.0,0.08298546142470009,102255334.262,0.3994980294158473,0.4198990830526903,0.4238391256504171
2020-03,78373334.0,855373824.0,-0.21953045097420254,157401913.871,0.332406962595499,0.40292249273772196,0.4131395315433645
2020-04,62752278.0,850033225.0,-0.07843109639793899,123504368.502,0.33691295950250116,0.3562726505046158,0.39845744625026835
2020-05,75627357.0,863471079.0,0.2160791347697375,121534595.591,0.3835798743426129,0.3509665988135377,0.3957652265157961
2020-06,113815362.0,902819398.0,0.5283991067028135,115724562.989,0.49584124419947534,0.4054446926815298,0.3994592898391029
2020-07,96022053.0,933891447.0,0.4783994932471445,113580523.136,0.4581148513064857,0.4458453232828579,0.4038255428830822
2020-08,83274517.0,941136353.0,0.09529058355960807,130159453.342,0.39016524345474846,0.4480404463202365,0.4004622651081829
2020-10,75371610.0,946894717.0,0.08271937211489888,127595732.919,0.3713484589000075,0.4065428512204139,0.4000469987158943
2020-11,82338492.0,962178042.0,0.22792166038450112,117436385.582,0.4121563882135439,0.3912233635227666,0.4038387954614116
2020-12,88318402.0,977848202.0,0.21569909427402245,147135026.914,0.37509923897629255,0.386201362029948,0.4012768725541031
2021-01,108165060.0,1013125199.0,0.4839886745241124,135806976.67,0.44335023585635586,0.4102019543487307,0.40627799774709916
2021-02,75853838.0,1007940064.0,-0.06398322693452696,119412060.181,0.38846433866136704,0.40230460449800515,0.39891148545206145
2021-03,87886667.0,1027798970.0,0.29192355750176757,152477210.089,0.36564007896851336,0.3991515511620787,0.3960899895814502
2021-04,81475481.0,1030901117.0,0.039581664345171186,154415570.398,0.34539453920417257,0.3664996522780177,0.397172287632173
2021-05,97625185.0,1065774024.0,0.5557233635406829,115097701.309,0.45893127295287933,0.3899886303751883,0.40734048041970455
2021-06,102806116.0,1092952783.0,0.3593773480673137,132534289.763,0.43684005586159774,0.4137219560062165,0.41177882887962
2021-08,88184525.0,1067321946.0,-0.2251966390969261,131625386.206,0.40118539021361876,0.4323189063426986,0.40389084104746525
2021-09,111138455.0,1082438348.0,0.1574263570473753,148549864.197,0.4279686331047111,0.4219980263933092,0.40137865619731733
2021-10,94223981.0,1093387812.0,0.13148637055439183,158036732.954,0.3735182522998085,0.40089075853937944,0.39999140693440566
2021-11,92686850.0,1110703052.0,0.229731592571792,144839009.987,0.39021793250247716,0.3972349393023322,0.40156386306794484
2021-12,130505346.0,1158869906.0,0.5849858654200273,189368292.853,0.4079903128871916,0.39057549922982576,0.4012166901240821
2022-01,88566311.0,1159117815.0,0.0028069914580202138,119110779.202,0.42646163288331296,0.40822329275766056,0.40549688961633384
2022-02,96527795.0,1147480550.0,-0.10758802334136364,149899356.138,0.3917092518183766,0.4087203991962937,0.40119347427983554
2022-03,120669759.0,1192296471.0,0.590819425643301,172334283.228,0.4118364991910292,0.41000246129757295,0.403141154323974
2022-04,94374856.0,1198784660.0,0.07382449717884976,145794788.855,0.392950807988153,0.39883218633251954,0.4054170484089441
2022-05,100572651.0,1217881830.0,0.23439162022253046,122337115.198,0.4511809989996856,0.4186561020596226,0.41423258672523683
2022-06,121432537.0,1241689182.0,0.2438648592573729,134912854.197,0.4737067299434292,0.43927951231042256,0.41546387480778263
2022-07,98195293.0,1237078359.0,-0.04484969551811491,150125427.259,0.39543737186966,0.4401083669375916,0.4120136511417878
2022-08,107385064.0,1256278898.0,0.21773138767828026,135469948.269,0.4421776721703162,0.4371072579944684,0.4154296746381792
2022-09,105337516.0,1250477959.0,-0.0521956059223605,127190029.77,0.45301091383036624,0.4302086526234475,0.41751653136531724
2022-10,119584765.0,1275838743.0,0.26915424004426214,114763446.177,0.5102866559099923,0.4684917473035582,0.4289138983328325
2022-11,79091725.0,1262243618.0,-0.146678034694242,101564717.963,0.4378018503120792,0.4670331400174792,0.432879224816966
2022-12,117455976.0,1249194248.0,-0.09999107622763592,149853661.265,0.43940045410169365,0.4624963201079217,0.43549673658484117
2023-01,83514447.0,1244142384.0,-0.057040469936700866,114639481.788,0.42146248379132595,0.43288826273503284,0.4350801408271756
2023-02,76448070.0,1224062659.0,-0.20802013554748666,131344551.009,0.3679056052557749,0.4095895143829315,0.43309650361362545
2023-03,89653386.0,1193046286.0,-0.257035178134399,178942583.791,0.3337852986765257,0.3743844625745421,0.42659223690408354
2023-04,81794144.0,1180465574.0,-0.133305761017532,132051728.22,0.382491105163124,0.3613940030318082,0.4257205950019977
2023-05,94828107.0,1174721030.0,-0.05711835119072284,65247687.833,0.5923950407301114,0.43622381485658696,0.4374884318128665
2023-06,91973791.0,1145262284.0,-0.24259351511366345,120028767.723,0.4338334006627338,0.469573182185323,0.4341656543728086
2023-07,80498554.0,1127565545.0,-0.1802198298853286,111083040.071,0.42017895503138625,0.48213579880807717,0.4362274529696191
2023-08,99439269.0,1119619750.0,-0.073993483861033,70295117.802,0.5858522299078899,0.4799548618673366,0.4482003327810837
2023-09,92405236.0,1106687470.0,-0.12276993507232503,129687992.547,0.41606507593474396,0.47403208695800664,0.44512151295644836
2023-10,91126244.0,1078228949.0,-0.23797781431439025,113223056.627,0.4459337209395851,0.4826170089274062,0.4397587683755812
2023-11,109222005.0,1108359229.0,0.38095363326567977,70021189.258,0.6093509181876521,0.4904499050206604,0.4540545240318789
2023-12,134637487.0,1125540740.0,0.14628043276401703,147948391.187,0.4764480371906773,0.5105775587726381,0.45714182262262754
2024-01,87805326.0,1129831619.0,0.05137888298535942,107188621.164,0.4502977004006754,0.5120322185930016,0.45954475734007333
2024-02,67683789.0,1121067338.0,-0.11464358747055359,76013984.031,0.471014877769877,0.4659202051204099,0.4681371967162485
2024-03,108155752.0,1139569704.0,0.2063766559803999,143688271.21,0.42945530579383406,0.4502559613214621,0.4761096973093575
2024-04,92285847.0,1150061407.0,0.12826961059706177,95578107.725,0.4912376465995851,0.46390261005443206,0.4851719090957292
2024-05,86774984.0,1142008284.0,-0.08492337614627277,86301792.538,0.5013669987142848,0.47401998370256787,0.4775862389277437
2024-06,121210685.0,1171245178.0,0.31788288470136017,135170395.453,0.4727754668395683,0.4884600373844794,0.48083141110914657
2024-07,91279950.0,1182026574.0,0.13393279089211974,104842939.287,0.4654222173242809,0.4798548942927113,0.4846016829668878
2024-08,99427747.0,1182015052.0,-0.0001158697174251655,105674260.211,0.4847721792293972,0.4743232877977488,0.47617834541034676
2024-09,95978598.0,1185588414.0,0.03867055758615234,144753106.686,0.3986952949350412,0.4496298971629064,0.47473086366037154
2024-10,112315113.0,1206777283.0,0.23252213709148384,127218797.476,0.46889024095506243,0.45078590503983357,0.47664390699499465
2024-11,112006279.0,1209561557.0,0.025491877758515802,118632217.692,0.48563566189722346,0.45107373259577566,0.46633430230412554
