month,code,company,group,revenue_ntd_k,mops_name
2019-01,3264,Ardentec,test,613222.0,欣銓
2019-01,2303,UMC,foundry,11795477.0,聯電
2019-01,2330,TSMC,foundry,78093827.0,台積電
2019-01,2449,King Yuan Electronics,test,1809595.0,京元電子
2019-01,3711,ASE Technology Holding,osat,33055773.0,日月光投控
2019-01,6257,Sigurd Microelectronics,test,614340.0,矽格
2019-02,3264,Ardentec,test,523644.0,欣銓
2019-02,2303,UMC,foundry,10461743.0,聯電
2019-02,2330,TSMC,foundry,60889055.0,台積電
2019-02,2449,King Yuan Electronics,test,1610631.0,京元電子
2019-02,3711,ASE Technology Holding,osat,26239644.0,日月光投控
2019-02,6257,Sigurd Microelectronics,test,576134.0,矽格
2019-03,3264,Ardentec,test,637007.0,欣銓
2019-03,2303,UMC,foundry,10325739.0,聯電
2019-03,2330,TSMC,foundry,79721587.0,台積電
2019-03,2449,King Yuan Electronics,test,1839898.0,京元電子
2019-03,3711,ASE Technology Holding,osat,29566029.0,日月光投控
2019-03,6257,Sigurd Microelectronics,test,829375.0,矽格
2019-04,3264,Ardentec,test,631927.0,欣銓
2019-04,2303,UMC,foundry,12082275.0,聯電
2019-04,2330,TSMC,foundry,74693615.0,台積電
2019-04,2449,King Yuan Electronics,test,1920944.0,京元電子
2019-04,3711,ASE Technology Holding,osat,29051464.0,日月光投控
2019-04,6257,Sigurd Microelectronics,test,668422.0,矽格
2019-05,3264,Ardentec,test,668487.0,欣銓
2019-05,2303,UMC,foundry,12242267.0,聯電
2019-05,2330,TSMC,foundry,80436931.0,台積電
2019-05,2449,King Yuan Electronics,test,2064673.0,京元電子
2019-05,3711,ASE Technology Holding,osat,30118129.0,日月光投控
2019-05,6257,Sigurd Microelectronics,test,744494.0,矽格
2019-06,3264,Ardentec,test,680128.0,欣銓
2019-06,2303,UMC,foundry,11706642.0,聯電
2019-06,2330,TSMC,foundry,85867929.0,台積電
2019-06,2449,King Yuan Electronics,test,2105344.0,京元電子
2019-06,3711,ASE Technology Holding,osat,31571316.0,日月光投控
2019-06,6257,Sigurd Microelectronics,test,801286.0,矽格
2019-07,3264,Ardentec,test,705884.0,欣銓
2019-07,2303,UMC,foundry,13728148.0,聯電
2019-07,2330,TSMC,foundry,84757724.0,台積電
2019-07,2449,King Yuan Electronics,test,2334740.0,京元電子
2019-07,3711,ASE Technology Holding,osat,36376356.0,日月光投控
2019-07,6257,Sigurd Microelectronics,test,855969.0,矽格
2019-08,3264,Ardentec,test,724403.0,欣銓
2019-08,2303,UMC,foundry,13184069.0,聯電
2019-08,2330,TSMC,foundry,106117619.0,台積電
2019-08,2449,King Yuan Electronics,test,2405477.0,京元電子
2019-08,3711,ASE Technology Holding,osat,40039028.0,日月光投控
2019-08,6257,Sigurd Microelectronics,test,861883.0,矽格
2019-09,3264,Ardentec,test,723781.0,欣銓
2019-09,2303,UMC,foundry,10826223.0,聯電
2019-09,2330,TSMC,foundry,102170096.0,台積電
2019-09,2449,King Yuan Electronics,test,2300996.0,京元電子
2019-09,3711,ASE Technology Holding,osat,41141924.0,日月光投控
2019-09,6257,Sigurd Microelectronics,test,813996.0,矽格
2019-10,3264,Ardentec,test,716205.0,欣銓
2019-10,2303,UMC,foundry,14587122.0,聯電
2019-10,2330,TSMC,foundry,106039531.0,台積電
2019-10,2449,King Yuan Electronics,test,2370821.0,京元電子
